timestamp,open,high,low,close,volume
2025-01-01T00:00:00Z,40000.0,40065.26,39980.2,40063.46,3446.42
2025-01-01T04:00:00Z,40063.46,40198.94,39999.23,40150.22,3173.88
2025-01-01T08:00:00Z,40150.22,40163.62,40134.47,40161.48,4010.71
2025-01-01T12:00:00Z,40161.48,40175.79,40031.05,40077.85,4089.88
2025-01-01T16:00:00Z,40077.85,40120.27,39982.47,40040.75,3013.0
2025-01-01T20:00:00Z,40040.75,40194.41,40016.25,40144.15,3310.96
2025-01-02T00:00:00Z,40144.15,40308.11,40137.47,40283.88,3193.43
2025-01-02T04:00:00Z,40283.88,40440.75,40225.77,40397.28,4459.46
2025-01-02T08:00:00Z,40397.28,40506.04,40370.02,40435.97,4104.08
2025-01-02T12:00:00Z,40435.97,40589.56,40373.93,40545.03,4154.7
2025-01-02T16:00:00Z,40545.03,40627.43,40528.62,40624.13,3578.78
2025-01-02T20:00:00Z,40624.13,40640.89,40546.0,40553.28,3555.95
2025-01-03T00:00:00Z,40553.28,40642.11,40526.62,40615.84,3419.01
2025-01-03T04:00:00Z,40615.84,40683.28,40543.26,40589.92,4218.26
2025-01-03T08:00:00Z,40589.92,40642.41,40529.22,40540.99,3758.91
2025-01-03T12:00:00Z,40540.99,40734.55,40500.89,40688.47,4369.23
2025-01-03T16:00:00Z,40688.47,40856.63,40671.98,40800.76,3064.2
2025-01-03T20:00:00Z,40800.76,40820.04,40771.28,40786.47,4885.82
2025-01-04T00:00:00Z,40786.47,40929.45,40739.28,40906.8,3791.26
2025-01-04T04:00:00Z,40906.8,41069.32,40887.72,41036.29,3493.26
2025-01-04T08:00:00Z,41036.29,41099.93,40994.2,41081.02,4795.65
2025-01-04T12:00:00Z,41081.02,41102.66,41009.19,41086.87,4019.05
2025-01-04T16:00:00Z,41086.87,41090.26,41010.8,41018.69,4254.89
2025-01-04T20:00:00Z,41018.69,41149.18,41014.12,41118.79,3763.24
2025-01-05T00:00:00Z,41118.79,41305.95,41048.87,41267.86,4721.56
2025-01-05T04:00:00Z,41267.86,41319.75,41131.53,41180.61,4073.94
2025-01-05T08:00:00Z,41180.61,41226.76,41146.62,41154.65,3869.53
2025-01-05T12:00:00Z,41154.65,41242.22,41091.59,41173.55,3526.78
2025-01-05T16:00:00Z,41173.55,41216.55,41107.84,41203.69,4741.04
2025-01-05T20:00:00Z,41203.69,41249.69,41141.47,41185.31,3305.68
2025-01-06T00:00:00Z,41185.31,41317.15,41129.25,41278.32,4060.71
2025-01-06T04:00:00Z,41278.32,41301.65,41187.05,41188.45,4858.2
2025-01-06T08:00:00Z,41188.45,41369.23,41166.31,41309.35,3115.85
2025-01-06T12:00:00Z,41309.35,41498.25,41303.18,41430.07,3971.98
2025-01-06T16:00:00Z,41430.07,41484.83,41301.54,41356.68,3256.78
2025-01-06T20:00:00Z,41356.68,41420.33,41337.6,41380.75,4744.87
2025-01-07T00:00:00Z,41380.75,41407.55,41341.92,41392.3,4459.86
2025-01-07T04:00:00Z,41392.3,41414.74,41278.93,41350.58,4299.76
2025-01-07T08:00:00Z,41350.58,41402.99,41341.86,41365.72,3449.39
2025-01-07T12:00:00Z,41365.72,41408.08,41340.29,41356.86,3440.43
2025-01-07T16:00:00Z,41356.86,41612.23,41321.15,41513.78,6716.26
2025-01-07T20:00:00Z,41513.78,42091.84,41476.65,42080.79,6006.93
2025-01-08T00:00:00Z,42080.79,42332.83,41934.85,42312.19,5713.13
2025-01-08T04:00:00Z,42312.19,42800.38,42186.22,42677.98,4571.23
2025-01-08T08:00:00Z,42677.98,42915.63,42611.9,42848.38,5401.07
2025-01-08T12:00:00Z,42848.38,43452.55,42694.85,43347.5,4295.25
2025-01-08T16:00:00Z,43347.5,43729.8,43213.08,43676.87,4745.97
2025-01-08T20:00:00Z,43676.87,43965.76,43611.05,43895.78,4835.64
2025-01-09T00:00:00Z,43895.78,44289.7,43826.65,44145.67,6584.05
2025-01-09T04:00:00Z,44145.67,44559.74,43989.79,44551.84,6508.08
2025-01-09T08:00:00Z,44551.84,45320.23,44419.45,45175.72,4498.93
2025-01-09T12:00:00Z,45175.72,45581.6,45113.16,45548.25,4175.91
2025-01-09T16:00:00Z,45548.25,46019.03,45506.88,45865.32,6352.21
2025-01-09T20:00:00Z,45865.32,46287.91,45715.98,46221.93,6986.27
2025-01-10T00:00:00Z,46221.93,46743.0,46197.78,46630.92,4890.12
2025-01-10T04:00:00Z,46630.92,47345.01,46546.34,47254.65,6243.93
2025-01-10T08:00:00Z,47254.65,47495.51,47176.21,47404.38,6558.16
2025-01-10T12:00:00Z,47404.38,47756.13,47391.88,47606.24,4557.47
2025-01-10T16:00:00Z,47606.24,48141.0,47569.55,48035.66,4359.66
2025-01-10T20:00:00Z,48035.66,48657.02,47942.92,48618.61,5858.14
2025-01-11T00:00:00Z,48618.61,49047.66,48537.06,48956.61,6804.12
2025-01-11T04:00:00Z,48956.61,49294.55,48919.37,49182.82,5187.36
2025-01-11T08:00:00Z,49182.82,49698.9,49133.5,49652.1,6255.59
2025-01-11T12:00:00Z,49652.1,49881.32,49496.34,49809.83,6988.29
2025-01-11T16:00:00Z,49809.83,50001.17,49768.45,49967.92,6799.78
2025-01-11T20:00:00Z,49967.92,50683.14,49910.27,50545.97,4473.24
2025-01-12T00:00:00Z,50545.97,51209.27,50450.55,51099.52,6961.7
2025-01-12T04:00:00Z,51099.52,51560.81,50972.05,51559.59,4898.14
2025-01-12T08:00:00Z,51559.59,52171.02,51538.64,52024.55,4346.29
2025-01-12T12:00:00Z,52024.55,52286.51,51982.06,52200.21,5814.49
2025-01-12T16:00:00Z,52200.21,52490.05,52002.32,52426.52,4291.95
2025-01-12T20:00:00Z,52426.52,52708.99,52150.61,52414.6,3776.9
2025-01-13T00:00:00Z,52414.6,52500.92,52334.01,52335.11,5813.36
2025-01-13T04:00:00Z,52335.11,52559.44,52103.85,52477.71,5155.04
2025-01-13T08:00:00Z,52477.71,52480.73,52379.03,52402.51,6149.32
2025-01-13T12:00:00Z,52402.51,52992.82,52142.11,52822.59,5247.53
2025-01-13T16:00:00Z,52822.59,52862.36,52360.43,52456.61,6196.94
2025-01-13T20:00:00Z,52456.61,53033.12,52176.15,52764.58,4130.23
2025-01-14T00:00:00Z,52764.58,52796.65,52260.69,52504.09,6152.4
2025-01-14T04:00:00Z,52504.09,52697.73,52358.5,52406.72,6289.64
2025-01-14T08:00:00Z,52406.72,53090.49,52153.76,52785.91,6144.25
2025-01-14T12:00:00Z,52785.91,53015.72,52188.05,52291.69,6292.45
2025-01-14T16:00:00Z,52291.69,52875.6,52038.74,52606.01,4300.42
2025-01-14T20:00:00Z,52606.01,52938.61,52333.9,52904.88,6075.78
2025-01-15T00:00:00Z,52904.88,53159.66,52472.6,52616.21,4415.57
2025-01-15T04:00:00Z,52616.21,52994.38,52608.83,52923.37,4079.39
2025-01-15T08:00:00Z,52923.37,53193.05,52443.1,52744.77,4337.37
2025-01-15T12:00:00Z,52744.77,53016.61,52438.65,52891.91,5108.65
2025-01-15T16:00:00Z,52891.91,53384.7,52589.14,53348.71,4035.7
2025-01-15T20:00:00Z,53348.71,53912.57,53314.89,53829.75,4803.69
2025-01-16T00:00:00Z,53829.75,54165.3,53640.61,54067.44,5034.27
2025-01-16T04:00:00Z,54067.44,54247.33,53868.57,53948.04,5626.36
2025-01-16T08:00:00Z,53948.04,54236.82,53261.8,53429.8,5658.29
2025-01-16T12:00:00Z,53429.8,53890.66,53316.16,53681.43,3709.92
2025-01-16T16:00:00Z,53681.43,53955.26,53583.48,53852.23,6044.05
2025-01-16T20:00:00Z,53852.23,53928.99,53826.25,53903.76,4520.98
